,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 302 fol,Réttarbǿtr Eiríks Magnússonar (skipan) | Rettarbøter frå Eirik Magnusson (skipan)-AM 302 fol,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,Alexanders saga-AM 519 a 4to,Vǫluspá-AM 544 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,Kristinréttr Magnúss Hákonarsonar | Magnus Lagabøtes kristenrett-AM 60 4to,Um tíund | Om tienden-AM 60 4to,Kristinréttr hinn eldri Frostaþings | Frostatings eldre kristenrett-AM 60 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 60 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-AM 60 4to,Réttarbǿtr | Rettarbøter-AM 60 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Kristinréttr hinn eldri Borgarþings | Borgartings eldre kristenrett-AM 78 4to,Kristinréttr Jóns erkibiskups | Erkebiskop Jons kristenrett-AM 78 4to,Kristinréttr Sverris konungs | Kong Sverres kristenrett-AM 78 4to,Bǿjarlǫg Magnúss Hákonarsonar  Farmannalǫg | Magnus Lagabøtes bylog  Farmannalov-AM 78 4to,Réttarbǿtr | Rettarbøtr-AM 78 4to,Pamphilus saga-DG 4-7,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-DG 8 I,Farmannalǫg (part 1) | Farmannslova (del 1)-DG 8 I,Eddic poems-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 30 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 302 fol,2.3314683517128287e-15,0.178323696835875,0.027819224853494418,0.7903137109304192,0.8559442334033668,0.03675347287180186,0.384356408691125,0.5047137766717789,0.3164004866294733,0.5099882820894198,0.3091972103312617,0.2709640407467667,0.2902569309492339,0.3193302221672326,0.6680266520720051,0.7105926635529275,0.49369239690810074,0.5569690644290548,0.6590541444834505,0.7748079956563277,0.9069627363577448,0.14471171326326215,0.09155455114248157,0.0998870529432071,0.05693451145737771,0.21747320488467514,0.7574472088089919,0.2658836878328936,0.43351543384574864,0.7499322144168148,0.49789840146561903,0.5521793443984319
Réttarbǿtr Eiríks Magnússonar (skipan) | Rettarbøter frå Eirik Magnusson (skipan)-AM 302 fol,0.178323696835875,0.0,0.1618255864449355,0.8660727188748597,0.8786976946680511,0.2037863866939389,0.3848201624126202,0.5352051336735157,0.42744623607999954,0.5451265250676555,0.44939144768171335,0.38561189752349,0.3925102154406799,0.30751199051376077,0.8133391027692523,0.8273502130063493,0.48395561838732126,0.6733235009523983,0.7572651379204547,0.8778421294667886,0.9470906164782178,0.2791582675556522,0.23089727252505587,0.2188722885499914,0.21614011824990054,0.17188534071179784,0.8513770060867971,0.45249787812054343,0.5874447123771286,0.7768870107995455,0.6331090741129455,0.6521065023333034
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,0.027819224853494418,0.1618255864449355,0.0,0.8119958861540587,0.8626022477046236,0.0509851968086249,0.39193820207466534,0.504367184422833,0.3627439817897248,0.5207951194706444,0.37398798907438247,0.3226050927579178,0.3403471054200945,0.32541593808734404,0.7020259217561924,0.737594705740517,0.46593830369877787,0.571094195292088,0.6850707792296997,0.8049776806434619,0.9185127589146352,0.13602807098181002,0.11275502751142752,0.12984738083302072,0.0755780358448539,0.20928201362677434,0.7808939449475879,0.30668345553495246,0.49671440374543896,0.7594938129492526,0.5362090828393075,0.5686535602049965
Alexanders saga-AM 519 a 4to,0.7903137109304192,0.8660727188748597,0.8119958861540587,0.0,0.9160610057558187,0.7861822076227091,0.7559165278877952,0.8146878008143017,0.8030728678845777,0.8607803878227023,0.8547534574970118,0.8497981222965101,0.8604850398202932,0.8795129666679941,0.4089104813181236,0.21351113149449785,0.8638419901132859,0.6215562511090704,0.20450510750490591,0.4370422414085344,0.619613516693912,0.8218769687201056,0.7893074748863108,0.8102676693125549,0.8019388490481992,0.8609892359464502,0.3444159352216165,0.7796177388543887,0.8027909917210605,0.8219202261459561,0.8436718195779793,0.7411677235608944
Vǫluspá-AM 544 4to,0.8559442334033668,0.8786976946680511,0.8626022477046236,0.9160610057558187,0.0,0.8559237167232492,0.8876364495518313,0.9247313850843245,0.8056522498588015,0.9093455421710674,0.9082169668396505,0.895673002780503,0.9155050926258954,0.8928642667004095,0.8526301414291091,0.8643500642872354,0.9405870718712521,0.8687368976160088,0.9049182959241622,0.9028992664118674,0.9590767668704308,0.8499776984549617,0.858267547184971,0.8653999466954952,0.8771477298104551,0.8720817729187923,0.8976085646983714,0.6238661639427814,0.5098265855713937,0.8222185917696543,0.8444134663555547,0.8433502122708243
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,0.03675347287180186,0.2037863866939389,0.0509851968086249,0.7861822076227091,0.8559237167232492,0.0,0.40829295032997803,0.5261212169452001,0.3386180627932083,0.5221102329741361,0.4123064580171304,0.3677262165647057,0.3792593132272789,0.3768698981096854,0.6524446510225007,0.7038102034301527,0.5174739758962734,0.5503896646150641,0.6555932879376734,0.7676489025009128,0.9069607506892972,0.10892130065793204,0.06502434306535887,0.09671170161306641,0.03394953241459542,0.21215723281475185,0.7532794265515251,0.25011663895147207,0.40485529648727436,0.7512588135135057,0.5401310612690813,0.5422269100059404
Breta sǫgur-AM 573 4to,0.384356408691125,0.3848201624126202,0.39193820207466534,0.7559165278877952,0.8876364495518313,0.40829295032997803,3.1086244689504383e-15,0.14220494909499548,0.5786954242238774,0.5707766381610995,0.47085553811122716,0.42195634022786443,0.39543637127652853,0.3515168555844901,0.8168830577909458,0.7912891828951703,0.2382213806956539,0.6122224755431228,0.6386586053310335,0.808618564683294,0.8541904609054233,0.48916275891953387,0.3944791227622598,0.2952946155144106,0.3894578691739369,0.3350974376199827,0.7817194995031813,0.6911612527945838,0.6856027418644147,0.761536025182331,0.7618360552806167,0.7711040965091579
Trójumanna saga-AM 573 4to,0.5047137766717789,0.5352051336735157,0.504367184422833,0.8146878008143017,0.9247313850843245,0.5261212169452001,0.14220494909499548,2.220446049250313e-15,0.7501236081433957,0.6891152855494023,0.5573095077217405,0.5312135036505687,0.4896250151622734,0.4894302145748791,0.8662574278721943,0.8450881437588997,0.23163353791736285,0.6074472016355954,0.6834219617295811,0.8638940890025117,0.8904098490197496,0.6069136719886701,0.513622222747942,0.4062296381793091,0.49259431356175176,0.48945410863299954,0.8214746676783389,0.8213212438245336,0.8010142955642826,0.8740165036502667,0.8786126062115842,0.8912436108494127
Kristinréttr Magnúss Hákonarsonar | Magnus Lagabøtes kristenrett-AM 60 4to,0.3164004866294733,0.42744623607999954,0.3627439817897248,0.8030728678845777,0.8056522498588015,0.3386180627932083,0.5786954242238774,0.7501236081433957,5.440092820663267e-15,0.4939507617983516,0.4093722843204498,0.3330885179120411,0.3738960309680429,0.4098782209494757,0.6759742001541135,0.7174830871619093,0.7311938808627881,0.6770778847597112,0.7408642987475692,0.771865984579131,0.8950189478989687,0.347230635865455,0.3224256785282903,0.34056190440507206,0.3908037109750291,0.404500739422856,0.7790023359270928,0.3263990094126349,0.37509545344675466,0.6796690082228007,0.40121352353284634,0.5152934425904313
Um tíund | Om tienden-AM 60 4to,0.5099882820894198,0.5451265250676555,0.5207951194706444,0.8607803878227023,0.9093455421710674,0.5221102329741361,0.5707766381610995,0.6891152855494023,0.4939507617983516,0.0,0.5447205299164892,0.49123230747687596,0.5215581755456196,0.47542753242220637,0.861474414852599,0.8832292152814224,0.6052588244889974,0.8153934834910688,0.8504007223149599,0.9183977345524842,0.9638202066684339,0.5905323900955617,0.4658985387540895,0.5290940666754101,0.5416373751051646,0.5155064760654037,0.8795174268306725,0.6043447908794614,0.6301706202168615,0.7942033917067323,0.6202283780461968,0.7302316302594822
