,Konungs skuggsjá-AM 243 bα fol,Alexanders saga-AM 519 a 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Pamphilus saga-DG 4-7,Strengleikar-DG 4–7,Óláfs saga ins helga (legendary version)-DG 8 II,Eddic poems-GKS 2365 4to,Thómass saga erkibiskups-Holm perg 17 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Barlaams ok Josaphats saga-Holm perg 6 fol
Konungs skuggsjá-AM 243 bα fol,5.972999872483342e-14,0.1369070289792692,0.1714034147493455,0.24169209532933977,0.2358411653877942,0.2532586816455299,0.5076656405588769,0.5283911386119662,0.2527120194219795,0.24194337925927611,0.20592584503742295,0.2747829806472133,0.13177880975950218,0.1008295552086832,0.5682721845466994,0.157321730089501,0.7950773304668185,0.22069945206518393,0.1427581419301277,0.1352549872081219
Alexanders saga-AM 519 a 4to,0.1369070289792692,1.1068923555512811e-13,0.12719272122111602,0.19017325552271913,0.2262224546758037,0.238822778693782,0.4649199711745854,0.5023541464775405,0.24321851474688472,0.1627831808512944,0.13373406763370876,0.2543097526888255,0.2077075402255466,0.15609525973025795,0.6013352398121451,0.2324145359434977,0.7930266457885319,0.23224279328859343,0.17827828822410796,0.17062292683761937
Breta sǫgur-AM 573 4to,0.1714034147493455,0.12719272122111602,1.7763568394002505e-14,0.1441713567801094,0.2633416006928475,0.22933948516179248,0.41622265584493345,0.5372595166336476,0.34222442189384994,0.25075980778079277,0.19833964683422378,0.24259358539707865,0.15520016824471694,0.13857630839216284,0.5715991411660835,0.25728591849893956,0.7726069549818677,0.2537528135806709,0.1337684714732177,0.1196153158689921
Trójumanna saga-AM 573 4to,0.24169209532933977,0.19017325552271913,0.1441713567801094,0.0,0.3210187120783825,0.2797369263613483,0.4290406174792366,0.5608259561941724,0.3975534288369109,0.29685177091912596,0.2456071534454397,0.2867922035060896,0.2167028416300184,0.19915980774299413,0.6031398633589354,0.3221700719645313,0.7940546012318814,0.312155360401448,0.1857017224353168,0.17398789769357625
De virtutibus et vitiis-AM 619 4to,0.2358411653877942,0.2262224546758037,0.2633416006928475,0.3210187120783825,0.0,0.20208306189537606,0.5201109487640483,0.5060272632239249,0.24667065630261598,0.17847257860509413,0.22087114146155218,0.29975498378149645,0.32595876287450976,0.2760965627100441,0.641130962457793,0.32400819659382274,0.8135314625148188,0.2893645648011389,0.3180436386272051,0.22813661481070036
Old Norwegian Homily Book-AM 619 4to,0.2532586816455299,0.238822778693782,0.22933948516179248,0.2797369263613483,0.20208306189537606,9.992007221626409e-15,0.4904056538800454,0.5087462959275921,0.3172622437752012,0.21249731945080574,0.2231001687364873,0.3080900946104941,0.29186215618676126,0.25693977442446136,0.6292616858916653,0.3437303953045143,0.7840559243613278,0.3042383048203101,0.27745258554476315,0.1954555175302093
"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",0.5076656405588769,0.4649199711745854,0.41622265584493345,0.4290406174792366,0.5201109487640483,0.4904056538800454,3.3306690738754696e-16,0.7035795223123633,0.5808206078847489,0.4946489328620025,0.45155306491148683,0.5143567382124044,0.4679891545539091,0.4696001036499816,0.6895386013814996,0.5595537049392789,0.8547025410393239,0.48929945961402377,0.4295279166102257,0.4334792026121548
1. De xii abusivis saeculi-AM 677 4to,0.5283911386119662,0.5023541464775405,0.5372595166336476,0.5608259561941724,0.5060272632239249,0.5087462959275921,0.7035795223123633,0.0,0.5093182996687726,0.4579514366744881,0.4613106783934884,0.5695685071406928,0.5729709294096741,0.5388234961556826,0.7544282087121977,0.6048750294524567,0.8777402741034417,0.5511850253689234,0.564039807750733,0.5371828920423531
2. Prosper’s Epigrams-AM 677 4to,0.2527120194219795,0.24321851474688472,0.34222442189384994,0.3975534288369109,0.24667065630261598,0.3172622437752012,0.5808206078847489,0.5093182996687726,0.0,0.22077346984719304,0.22770866204072204,0.39483363403220306,0.39405880118767156,0.32731763658967483,0.6661440173389744,0.3831088826687674,0.8417066498980976,0.3133829846381252,0.38633104551951725,0.3341035916159094
3. Gregory’s Homilies on the Gospels-AM 677 4to,0.24194337925927611,0.1627831808512944,0.25075980778079277,0.29685177091912596,0.17847257860509413,0.21249731945080574,0.4946489328620025,0.4579514366744881,0.22077346984719304,0.0,0.08401057712305948,0.30288584280870723,0.31878045407514133,0.2656316993521397,0.6139941373978535,0.3329044543627415,0.8079639996920829,0.2797282640425819,0.3038574589637777,0.26121184744293025
4. Gregory’s Dialogues-AM 677 4to,0.20592584503742295,0.13373406763370876,0.19833964683422378,0.2456071534454397,0.22087114146155218,0.2231001687364873,0.45155306491148683,0.4613106783934884,0.22770866204072204,0.08401057712305948,0.0,0.2971750170784818,0.26230458930773515,0.2091334723089131,0.5914505923869542,0.3126450731781021,0.8049218373625918,0.25321283851958454,0.25411303176532385,0.23066004442558952
Pamphilus saga-DG 4-7,0.2747829806472133,0.2543097526888255,0.24259358539707865,0.2867922035060896,0.29975498378149645,0.3080900946104941,0.5143567382124044,0.5695685071406928,0.39483363403220306,0.30288584280870723,0.2971750170784818,0.0,0.28476330083076085,0.2647662211154529,0.6273309415801456,0.3633464796731689,0.8021349755558254,0.3492724851829053,0.2619929099110577,0.23664911416915324
Strengleikar-DG 4–7,0.13177880975950218,0.2077075402255466,0.15520016824471694,0.2167028416300184,0.32595876287450976,0.29186215618676126,0.4679891545539091,0.5729709294096741,0.39405880118767156,0.31878045407514133,0.26230458930773515,0.28476330083076085,4.263256414560601e-14,0.0986970660283204,0.5602361304143283,0.1927405879876759,0.7839140306407326,0.3144225766621068,0.08909426624948114,0.1265842824091532
Óláfs saga ins helga (legendary version)-DG 8 II,0.1008295552086832,0.15609525973025795,0.13857630839216284,0.19915980774299413,0.2760965627100441,0.25693977442446136,0.4696001036499816,0.5388234961556826,0.32731763658967483,0.2656316993521397,0.2091334723089131,0.2647662211154529,0.0986970660283204,0.0,0.5495744099508426,0.18560754709152616,0.7775904573158925,0.2566181700699066,0.077816701670686,0.13501743471976935
Eddic poems-GKS 2365 4to,0.5682721845466994,0.6013352398121451,0.5715991411660835,0.6031398633589354,0.641130962457793,0.6292616858916653,0.6895386013814996,0.7544282087121977,0.6661440173389744,0.6139941373978535,0.5914505923869542,0.6273309415801456,0.5602361304143283,0.5495744099508426,4.107825191113079e-15,0.6183584965579877,0.877390889184485,0.6323032032039031,0.5439109088214918,0.5749897257381108
Thómass saga erkibiskups-Holm perg 17 4to,0.157321730089501,0.2324145359434977,0.25728591849893956,0.3221700719645313,0.32400819659382274,0.3437303953045143,0.5595537049392789,0.6048750294524567,0.3831088826687674,0.3329044543627415,0.3126450731781021,0.3633464796731689,0.1927405879876759,0.18560754709152616,0.6183584965579877,0.0,0.8078752907362868,0.34320238688879856,0.20760680395492026,0.20641534647859594
Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,0.7950773304668185,0.7930266457885319,0.7726069549818677,0.7940546012318814,0.8135314625148188,0.7840559243613278,0.8547025410393239,0.8777402741034417,0.8417066498980977,0.807963999692083,0.8049218373625918,0.8021349755558254,0.7839140306407326,0.7775904573158926,0.877390889184485,0.8078752907362868,0.0,0.7561108007178289,0.7716620884444018,0.7660301284463983
