,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Dámusta saga-AM 557 4to,Gregory’s Dialogues-AM 677 4to,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,2.1760371282653068e-14,0.2074865348467252,0.3049332312323466,0.4393616432931119,0.3391307426965826,0.4483868062926559,0.35648019165559,0.238234637526352,0.2445335569880439,0.1966248802542283,0.5748219538391031,0.4033240801954855,0.3118948145825585,0.3121650419218768,0.199388378553917,0.22825526410255004,0.4213662947716751,0.387866490253145,0.5362419697448876,0.645536054687198,0.3501277489327115,0.45774644100484074,0.22836491360932032,0.1727021200077572,0.6673643252654684,0.2752270182147122,0.3816285051985945,0.271580141553862,0.16486659090171218,0.24061447733585906,0.631644841622425,0.33431651616855507,0.3298863283754254,0.5633420458458422,0.21943922334220434,0.5137598592028725,0.1901220683482796,0.36245612156892937
Breta sǫgur-AM 573 4to,0.2074865348467252,0.0,0.2892397790125234,0.4533807678007653,0.29305077863329354,0.42273277712624757,0.3239101361758939,0.22592348910541615,0.22596892583206774,0.19911389736115848,0.5522374318952625,0.3768511250252098,0.2776829550700929,0.29987236228832814,0.19896553099540448,0.17968760736468647,0.3827687937811036,0.35278573406240465,0.5252897642075849,0.6198292043691627,0.3164617595195385,0.44861555929382635,0.2083245133765812,0.14987471118397744,0.655004962948483,0.24448715240662566,0.3503987327320134,0.20827729777793358,0.12751668481792366,0.1835408665923225,0.6113250959720078,0.28439109498489856,0.3121317122051045,0.5317646267855389,0.18433947563857755,0.5492290963394371,0.1651086941000327,0.34926892858047454
Karls þáttr vesæla-AM 557 4to,0.3049332312323466,0.2892397790125234,1.7763568394002505e-15,0.4900958249935773,0.3954120474454088,0.461912309657157,0.41722346197668236,0.3270778959814207,0.29946458363518746,0.28088528985624783,0.6128727217351964,0.4483975961211445,0.3968202340033474,0.3846311971403862,0.2859789558329616,0.30932172627999777,0.45434273198538266,0.4162258176953405,0.601468092985004,0.6975599923213175,0.37562465477542195,0.5092440543609311,0.3256034813840766,0.26833245409440476,0.6939133267908209,0.34303831396136064,0.4225219469186762,0.34848717578646393,0.24676235476044028,0.28072967837439367,0.6634925227685748,0.4082338591617547,0.38005195886459076,0.6005340851305585,0.30699016659938716,0.510858597776328,0.26796029288060075,0.3991861949668086
Hróa þáttr heimska-AM 557 4to,0.4393616432931119,0.4533807678007653,0.4900958249935773,2.3314683517128287e-15,0.5388285906151259,0.5796537889876037,0.5357444444647255,0.46929319188589746,0.440519908752245,0.43028818197585494,0.7077792688339735,0.5637675872506168,0.5387033626197735,0.5134978186579792,0.4452989696999885,0.46782442908755206,0.573868043780814,0.5452980042691598,0.6849381645109751,0.7615601066756023,0.5085484363580096,0.6219513658999467,0.4738190625973352,0.4214801123137589,0.7683576764344038,0.48847380748273295,0.5512850161496456,0.5012328932675368,0.42167802379573494,0.44149331682000303,0.7400785190548022,0.541636076876304,0.5144215383702858,0.685475897319733,0.4718894373744096,0.6149933972848709,0.41618841956499586,0.5288019870990415
Old Norwegian Homily Book-AM 619 4to,0.3391307426965826,0.29305077863329354,0.3954120474454088,0.5388285906151259,1.5432100042289676e-14,0.37491122392208154,0.3788714158753279,0.3542087673457659,0.3236440543040261,0.3259958847614758,0.6456658747996242,0.480550431990892,0.386774566952786,0.4285112518263664,0.3317664200919337,0.33100171346180396,0.36298545106581126,0.3911042525460363,0.5552743515223075,0.6626813735453774,0.3520553752359987,0.5066812299105015,0.3488986921796795,0.2999957890072038,0.6021050139916698,0.35868851155159454,0.279859472872692,0.345936131491124,0.2758121997378056,0.2732472944381047,0.6379320168782721,0.38342448679544305,0.4071769851883682,0.5830421363040403,0.3227598969876546,0.6178473136125374,0.2987273040071222,0.42455244195880715
Prosper’s Epigrams-AM 677 4to,0.4483868062926559,0.42273277712624757,0.461912309657157,0.5796537889876037,0.37491122392208154,0.0,0.4273141845817344,0.4474675201772731,0.35498525888586396,0.412033224332654,0.7374489711404235,0.5346994393332183,0.5127158593451078,0.5286160921137261,0.4369037226906304,0.4436016860821237,0.3438818870347726,0.41097203099056945,0.5925482213701588,0.720565793057171,0.34333515622802946,0.60652926154276,0.48169539958680474,0.40504637676054167,0.59615838826738,0.45624692232696484,0.2874256419297464,0.4684447528889104,0.39628511838219815,0.28464825775076585,0.6492042711049917,0.47994458898654857,0.44652859959544655,0.5658553219730992,0.46766600162293803,0.6246931703578829,0.3749337973220803,0.4396029972940305
Pamphilus saga-DG 4-7,0.35648019165559,0.3239101361758939,0.41722346197668236,0.5357444444647255,0.3788714158753279,0.4273141845817344,0.0,0.3719553651582115,0.31487601715418345,0.36097584840843977,0.660116681478945,0.4753572260712403,0.45113854052124325,0.4400479431458273,0.35967653065507466,0.3879051277525434,0.448509220120187,0.42342159764492826,0.5553649276769204,0.6721403871676703,0.3785139990690388,0.5584469692065182,0.386812956383376,0.31703597573378595,0.6549650279144286,0.40512374450826927,0.35217179767368845,0.36569853700413946,0.33270745656303025,0.2941832488844405,0.6375707914478235,0.4279590927705178,0.4283468251358509,0.6271144645616695,0.37547685664671937,0.6284045603386134,0.31157837149516654,0.46305091558985123
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.238234637526352,0.22592348910541615,0.3270778959814207,0.46929319188589746,0.3542087673457659,0.4474675201772731,0.3719553651582115,4.1300296516055823e-14,0.22521507356418013,0.22593861308837493,0.5931046540348275,0.41829450506921617,0.3234488378910114,0.32865614573655577,0.18843422358494488,0.25667835449186716,0.41177984075724394,0.3940075362118639,0.5434574746092711,0.6534805670602128,0.36113104809697394,0.4989647870146684,0.2127458867781199,0.16956672298984599,0.6723978214927734,0.26166590959710345,0.3994394673533893,0.2823858625050083,0.17751558426723368,0.2411285741308855,0.6472356075934302,0.3568819885976684,0.3718671225607185,0.5610624631420102,0.23212603002351984,0.5717496490522138,0.16847685015333613,0.3608491717796948
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.2445335569880439,0.22596892583206774,0.29946458363518746,0.440519908752245,0.3236440543040261,0.35498525888586396,0.31487601715418345,0.22521507356418013,0.0,0.23013985285410565,0.5988379829912454,0.3808156206971791,0.3530178505624232,0.3378577962664602,0.20795328798568868,0.2770864474237662,0.3807440923896478,0.35642321494797,0.5216501927012407,0.6617141540161753,0.3022628003460257,0.5003057800554801,0.2495545396273473,0.16239821550143685,0.635184233807419,0.2564647042710523,0.32268574824541896,0.2856349224237612,0.2021779684194427,0.1757120454612755,0.6116537639677699,0.34853091972688255,0.3296898628510706,0.5638797532566735,0.25607051921608703,0.5352308766260332,0.1405368082121199,0.3174452948566766
Hallfreðr saga vandraskald-AM 557 4to,0.1966248802542283,0.19911389736115848,0.28088528985624783,0.43028818197585494,0.3259958847614758,0.412033224332654,0.36097584840843977,0.22593861308837493,0.23013985285410565,0.0,0.5794788712796229,0.4029168050378813,0.30377307421046473,0.3108215899031519,0.16586367798856727,0.21769952996405117,0.387797085641712,0.3625908123119108,0.5459265402167872,0.657938299653215,0.32362059429362744,0.46464464365506253,0.22002878030764628,0.16084346989343057,0.6729224408919019,0.2557611529179187,0.3663581639125826,0.2679332792431868,0.1385763301660119,0.2104391949281782,0.6358712534513862,0.33094638650939867,0.31729600862378304,0.5406653173095283,0.21250968207276033,0.4971631745680386,0.1700396163403347,0.3265601748531436
