,Konungs skuggsjá-AM 243 bα fol,Alexanders saga-AM 519 a 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Pamphilus saga-DG 4-7,Strengleikar-DG 4–7,Óláfs saga ins helga (legendary version)-DG 8 II,Eddic poems-GKS 2365 4to,Thómass saga erkibiskups-Holm perg 17 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Barlaams ok Josaphats saga-Holm perg 6 fol
Konungs skuggsjá-AM 243 bα fol,5.695444116327053e-14,0.12744339457975162,0.1554241876308312,0.21352819312230753,0.210869671246516,0.2288128369724951,0.4870262927801263,0.5000244901725747,0.2373811249667379,0.2272323809732254,0.1933419526150406,0.24667611936374712,0.11525661997382164,0.09315233381220456,0.5325006394773024,0.145262014839741,0.7735136573874741,0.19395808824817262,0.13522291323653135,0.12322938368900682
Alexanders saga-AM 519 a 4to,0.12744339457975162,0.0,0.11440787991995971,0.16954161754620922,0.20227230528423878,0.2143877456446962,0.4429543083660332,0.47277550097257226,0.22799748037565182,0.1458308035232575,0.11996186614961768,0.2253026609849681,0.1921643449838839,0.14699293245652068,0.5677412453898509,0.21952775586705775,0.7718155707017236,0.20655956652561558,0.17046715222723519,0.15621878411689094
Breta sǫgur-AM 573 4to,0.1554241876308312,0.11440787991995971,0.0,0.11293569033530426,0.23453738398219193,0.19689037589230507,0.3843834172643008,0.5050961435432371,0.3235615029277852,0.22909188824004656,0.17908327938144286,0.20567606630625468,0.12988145264838413,0.12217286525598747,0.5326771459958024,0.23762539265361027,0.7465754981519883,0.22311478325081047,0.11836599221914379,0.09441850103355098
Trójumanna saga-AM 573 4to,0.21352819312230753,0.16954161754620922,0.11293569033530426,3.4416913763379853e-15,0.28399839976722463,0.2369380587334391,0.39042607389054573,0.5232530863200856,0.37023456862204807,0.26443266138931043,0.21414228154317294,0.23975772537758178,0.17797476226912423,0.16927371873159125,0.5583190936865885,0.29191476258733573,0.7666743379634129,0.2708095273612612,0.155645388037712,0.13518004932928707
De virtutibus et vitiis-AM 619 4to,0.210869671246516,0.20227230528423878,0.23453738398219193,0.28399839976722463,1.0436096431476471e-14,0.16790132283056747,0.49046633723754707,0.4673669044698182,0.22201713184477867,0.16057501669709995,0.19980622923504288,0.2637428620247273,0.29989842394208754,0.25314096168777267,0.6047629000369292,0.2991449451400209,0.7899386462434141,0.24923550037001407,0.2964162341842915,0.20049078422795708
Old Norwegian Homily Book-AM 619 4to,0.2288128369724951,0.2143877456446962,0.19689037589230507,0.2369380587334391,0.16790132283056747,0.0,0.4578658396176719,0.4713665000971937,0.29093732107830916,0.19031076478877396,0.20001477682770408,0.26621862443253563,0.2626022674675367,0.23338729067318553,0.591345926381597,0.31818355744685867,0.7576094543770625,0.2664671704158059,0.2536347702694266,0.16392061648747847
"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",0.4870262927801263,0.4429543083660332,0.3843834172643008,0.39042607389054573,0.49046633723754707,0.4578658396176719,1.3322676295501878e-15,0.6767071870856691,0.5597787428781166,0.4706581392059507,0.4295245394541285,0.4832353550816565,0.44063637415856116,0.4496239292665978,0.651449651120387,0.5393072600938542,0.833292635015663,0.45744938028942084,0.40545395612566204,0.4046065858967711
1. De xii abusivis saeculi-AM 677 4to,0.5000244901725747,0.47277550097257226,0.5050961435432371,0.5232530863200856,0.4673669044698182,0.4713665000971937,0.6767071870856691,0.0,0.4783323928399493,0.42373129796146125,0.42787771181320244,0.5314728553108863,0.5439457663801288,0.5121331265919099,0.7216650177507833,0.5791774029050539,0.8578552350700972,0.5155082176141879,0.5388087492994407,0.5069796118198179
2. Prosper’s Epigrams-AM 677 4to,0.2373811249667379,0.22799748037565182,0.3235615029277852,0.37023456862204807,0.22201713184477867,0.29093732107830916,0.5597787428781166,0.4783323928399493,2.6978419498391304e-14,0.2029951733206069,0.21144509524031496,0.36625941840421083,0.3774784151418138,0.31402789210502435,0.6345370978590945,0.3671457005890829,0.8226974993671734,0.28413989116565264,0.374530267764579,0.31771247864981345
3. Gregory’s Homilies on the Gospels-AM 677 4to,0.2272323809732254,0.1458308035232575,0.22909188824004656,0.26443266138931043,0.16057501669709995,0.19031076478877396,0.4706581392059507,0.42373129796146125,0.2029951733206069,6.328271240363392e-14,0.06986193571384147,0.2707333772530853,0.29922882301366016,0.2518487999734552,0.5802762307530889,0.3159435373095896,0.7858413291148512,0.2495194948746018,0.2903126943616463,0.2439214272305501
