,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Maríu saga-NRA norr fragm 78,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Njáls saga-AM 162 B α fol,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 A,Two fragments of Njáls saga-AM 162 B θ fol,"De xii abusivis saeculi, Prosper’s Epigrams, Gregory’s Homilies on the Gospels, Gregory’s Dialogues-AM 677 4to",Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,0.0,0.14328269870968324,0.22378798362524088,0.31961461261795066,0.26090068980129266,0.3095640434483181,0.36966648605986163,0.29144771044788886,0.15590312265603268,0.18491444141554292,0.31049083895728047,0.36172413718846996,0.1312147312232601,0.46927287026709197,0.3070514090957932,0.2200569077362875,0.4790648374882148,0.5024819230915076,0.3311081169202996,0.22455853201652487,0.39776661875970365,0.2120959345057123,0.13234771859746886,0.17477183263689966,0.388592575553268,0.32129720799762784,0.4386384974043035,0.4672796071783857,0.2703038129628068,0.3504825643271883,0.5479938930160215,0.3079832657339543,0.3881205032736601,0.14862747133898224,0.4363431526818873,0.645789091073766,0.27604579626861336,0.5469925396095845,0.42015866577234473,0.4054184070644554,0.3554668688861604,0.46306493106085644,0.3744230315201046,0.11747516740855801,0.5574845510801434,0.19061376899631433,0.28605994998604634,0.5444212764536966,0.30749171495063987,0.274527113273506,0.5796905660810505,0.18382494575275588,0.15179291559132557,0.16691782873988448,0.48102026746012705,0.5360091658782291,0.1444575278004201,0.32053769773259877,0.22444651741369392,0.32358645401495567,0.3328332868466619,0.5455027741368281,0.16256820095058444,0.42267334753203967,0.41252791498704633,0.1293635210835704,0.2612743890125958
Breta sǫgur-AM 573 4to,0.14328269870968324,0.0,0.22670426861060977,0.36176675455139484,0.2120088959658295,0.3157086861756684,0.3359252366335863,0.3103992681199569,0.1545760634906378,0.1898990086762088,0.2773528694428089,0.3231206221695416,0.13975930788499635,0.4397128225651684,0.28858342506199974,0.19591050967285906,0.46240444487093,0.46983387466634663,0.2887525407941458,0.18740264364649895,0.36721164794880845,0.20476896522804788,0.13998944639991173,0.12512315587463696,0.34299122225623546,0.2756817943940565,0.4316869384545994,0.44610589194788464,0.24382244132475728,0.33364054405621935,0.5401865242686965,0.2670279026342952,0.39739063603144353,0.13262904061390368,0.4090954123690699,0.6604301448739373,0.2484382183463728,0.5249771230316674,0.39640001281872084,0.354091204671529,0.34389608596779864,0.4363444955611677,0.3677437729230544,0.09399144966343731,0.5378855490416885,0.16146025941725328,0.2603031215818802,0.5470804381654557,0.27063184607199664,0.23956409215254004,0.5493216277025827,0.1300007425732186,0.12198985884141333,0.11721551106516914,0.47553337763059655,0.5105016356031031,0.07618260670445465,0.29204535897999884,0.21947009685678065,0.3005421433533074,0.31074267615956364,0.5116153948980207,0.12939078781266133,0.48993391640655637,0.369533350142495,0.1125659724829704,0.2675437928754929
Karls þáttr vesæla-AM 557 4to,0.22378798362524088,0.22670426861060977,5.329070518200751e-15,0.376676724891851,0.29888831495577517,0.3599394576391456,0.3861875635491514,0.33149092633020016,0.23044152604844104,0.22778235177979644,0.3348067951742373,0.3826811477925407,0.20489790306481803,0.5166422214840858,0.3530219864824137,0.2919108689538542,0.5271377407915061,0.5913309866948033,0.4066984219094262,0.3193751008897041,0.43087086442985656,0.2994718476218323,0.2050806926967088,0.2674508982488445,0.41380697382442455,0.35189762426873317,0.5136867370394524,0.5087327054233179,0.34835106698927043,0.38535817862322397,0.620166664430064,0.3352987990614409,0.43677561717460167,0.2461441739513407,0.504930487028527,0.6631995253254852,0.34994955425945573,0.572232184148507,0.48377429201643507,0.4672839165916559,0.4321800799977835,0.4838227659998826,0.4212466897262874,0.20685546453542847,0.5818600494019533,0.25478389760913134,0.3327041325463169,0.5982788500545639,0.3670778208289096,0.3420970846169019,0.6397040596690158,0.26975044947062377,0.2283390698491763,0.2105532137755468,0.4977433928727608,0.5780104042815308,0.23736128212294216,0.3394575587094619,0.2859360688442536,0.3431566707236309,0.4059287623534318,0.5881996209502185,0.2507116751999845,0.4067591056240062,0.4736284789392772,0.1994163688116959,0.29405337473728543
Hróa þáttr heimska-AM 557 4to,0.31961461261795066,0.36176675455139484,0.376676724891851,0.0,0.4610635077772304,0.44771257869246706,0.506459507163328,0.4228492166244797,0.34566034601743656,0.3422823100954103,0.4680141660182481,0.4982531355433254,0.3094910209026567,0.6022760290546667,0.45266846995524757,0.41460451683064814,0.6266840565677106,0.6481643608906711,0.49454678010308706,0.4453449064545846,0.5518685386128956,0.38310120360415467,0.3165896073199723,0.39036127882123495,0.5160993562498004,0.4678635547934238,0.6128119702515329,0.6217001884156025,0.442822485334207,0.4829983262030415,0.6502080242042005,0.44975515738407934,0.5499255344029153,0.3639913163984396,0.5992102572947176,0.6995104922644766,0.4532011724501199,0.6473362087437835,0.5361362251348125,0.5922374944509439,0.5110599509307376,0.561326283334239,0.5154980000813434,0.3130659668435861,0.6802303831065284,0.3769953428217767,0.4451614978200493,0.6609701794861648,0.4719074453499108,0.4740804362218197,0.7275595495865641,0.40003673770602954,0.36453416110907244,0.34417739401578595,0.558051791424941,0.6574813762437164,0.35887238781292674,0.47190981409479604,0.37533822030280617,0.45240550913956323,0.495031086575618,0.6417857297061803,0.3835395396849641,0.4881513090577121,0.5804863058411677,0.3120581398134916,0.40664210885230656
Old Norwegian Homily Book-AM 619 4to,0.26090068980129266,0.2120088959658295,0.29888831495577517,0.4610635077772304,0.0,0.39215316881139906,0.2887230683781893,0.32786153302117704,0.2639956367339773,0.2632729957993831,0.36476451150786904,0.33559016473413106,0.26329985189130134,0.5512575268976765,0.3742413896581158,0.2938168318213321,0.5629695047641686,0.558543644203134,0.36254654587799295,0.2875316647676105,0.3931798285438248,0.35455777102984143,0.2683945935012825,0.26984428909719205,0.33767179596472463,0.3063540037438123,0.4266432243473006,0.5054593445806913,0.3535789743608313,0.3340964287915126,0.5726472447661075,0.2932100149297,0.43484064682972057,0.26222656467532657,0.464406662682848,0.6742570912734988,0.36506148464793975,0.5243380727145426,0.5049664546869569,0.35631381860466216,0.45098163629204513,0.544120144214898,0.4580111617577999,0.24174609847096828,0.46172153104179514,0.2543882217599174,0.21967595580321964,0.6062515733305041,0.3733283882403303,0.3361283899215751,0.5846776208550021,0.25771809760508313,0.2454176684706747,0.1895179792803352,0.4985725086851719,0.5207589533232145,0.2043360545041628,0.2767999495280715,0.32219194956180575,0.2806455714461932,0.4166315119623687,0.5802014902142043,0.24433136521916,0.5491078675561261,0.40650622951868887,0.2355350579505323,0.32620625601304365
Theta-fragment of Egils saga-AM 162 A θ fol.,0.3095640434483181,0.3157086861756684,0.3599394576391456,0.44771257869246706,0.39215316881139906,1.3322676295501878e-15,0.4258774327648388,0.4099836099514498,0.33176488217567446,0.2735711062348868,0.38675660018146063,0.45314301185810346,0.2950725869955857,0.5809747471440614,0.4282462192946219,0.3752686613814188,0.5699652043953539,0.6283470542772956,0.46790143640542714,0.3933058676181306,0.5015140596118798,0.38972817701074847,0.3125375657874714,0.3139385261088563,0.4785435607492934,0.42799369417766187,0.5628817456548418,0.5626113778120292,0.4225991631709288,0.4247209780587696,0.6459189807740019,0.40868970159037354,0.5336169894039344,0.32706028594231695,0.5609509854319112,0.6960680533518049,0.2683022878278498,0.5925530153674428,0.5206537930317703,0.5332308807664443,0.4900834722804579,0.5479013810456055,0.49577393992006524,0.30013768267606233,0.6343687960888578,0.34988913239851815,0.4049549684482988,0.6560865778065516,0.45485982982650486,0.43735096513776517,0.6933553784046569,0.3548794903037178,0.18993243987036057,0.28734981326316344,0.5288124052184613,0.6276287312036328,0.312621932933868,0.3935630131209603,0.3583731706094989,0.38754992452760517,0.48245502715669075,0.6198979595691058,0.33471876925335775,0.5196741757565271,0.5343057389043421,0.2909586257126101,0.3534991153779421
Prosper’s Epigrams-AM 677 4to,0.36966648605986163,0.3359252366335863,0.3861875635491514,0.506459507163328,0.2887230683781893,0.4258774327648388,0.0,0.4008622968852521,0.37412320445011793,0.2957447567576429,0.4201858060621817,0.2771177100628087,0.34111496000250885,0.6515438846764745,0.4314924070975361,0.38097228522039195,0.6507963972265716,0.6440037760661305,0.4319288067074104,0.41512548293912255,0.4960232434273629,0.4371815930829216,0.372764294617288,0.3656544705207122,0.31128504395175915,0.29440753093585836,0.4696826660498804,0.5939314079917917,0.4230321593865777,0.3145627980298151,0.6794477105699732,0.25383065732961185,0.552657657680981,0.3962452064261792,0.5750985657197645,0.6891108043011056,0.4294218482472646,0.501781395608518,0.5624381372594183,0.45957204992002854,0.5519620889978125,0.5785719528227704,0.5467564632522478,0.33246187589732845,0.4584500962263054,0.36904743827287123,0.20324300156977926,0.697160613722239,0.4690003155892398,0.48382025529634287,0.6925170226204851,0.37641607685542955,0.3533368793398727,0.19179297080391644,0.48964537785324036,0.522408028334133,0.2996816624513672,0.2868089188273103,0.34956945018599694,0.2519453925767533,0.5773823622509597,0.5412133253242972,0.39570366190549955,0.5789281184238468,0.4787430470459725,0.3075055448237184,0.34299045646156623
Pamphilus saga-DG 4-7,0.29144771044788886,0.3103992681199569,0.33149092633020016,0.4228492166244797,0.32786153302117693,0.4099836099514498,0.4008622968852521,4.440892098500626e-15,0.2954249887956134,0.2505991191385385,0.4557155939615216,0.4355919150010882,0.31266736246442794,0.606452369814778,0.381075577537217,0.37917455904704267,0.6390633624356146,0.6443649260616463,0.47713874636520237,0.43147291791032394,0.5151446030543928,0.3989773921306594,0.3010986020017832,0.4072289207697636,0.4635758415265968,0.4207392771653644,0.4858642209705777,0.6094964292629339,0.40755999090075745,0.4219098362363509,0.592728870939939,0.3933560488626924,0.509990007282598,0.33967958606214643,0.4757297231139914,0.6437367953480709,0.477064848599589,0.5902833181894478,0.5058579112206852,0.4590757175782142,0.464193740183934,0.5822301354870136,0.45714300135187147,0.30226660266112626,0.559576258336727,0.350229621902554,0.3092998836030775,0.6450906808541325,0.41783972244598633,0.4034027902599471,0.6447504910906048,0.32038876524801874,0.3506654101123917,0.2753369003535344,0.46343298530505994,0.5727163649310534,0.3174320022479492,0.3614420431934291,0.37163972746298446,0.319608028632947,0.4476012695336792,0.6455385205799917,0.3444669388947357,0.5034878708978514,0.46054277957340883,0.2770712912510176,0.3697620658934464
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.15590312265603268,0.1545760634906378,0.23044152604844104,0.34566034601743656,0.2639956367339773,0.33176488217567446,0.37412320445011793,0.2954249887956134,1.2989609388114332e-14,0.16623773634911876,0.3181061452125662,0.36662885442972715,0.14840569859514596,0.48240722986828133,0.3040690697598225,0.23807886966256475,0.4970675434825108,0.5302680968079276,0.34552908344414024,0.22920110334017896,0.3899733197910641,0.21746729959217992,0.12037198184883824,0.2025814370957837,0.38240558978909456,0.31935572989436734,0.44106816800253335,0.47434335888574075,0.2885548845530901,0.3604514093932185,0.5373157272871723,0.31046723775090135,0.43295698960961293,0.13054665538637422,0.45498962751278904,0.66619670692371,0.27175470091897247,0.5467323498991364,0.43728519329821325,0.41557693590698475,0.354974842957102,0.4706417112668795,0.38497987976855663,0.11124387176872563,0.5686820644237494,0.17218982568003371,0.30320090396356925,0.5705040045477799,0.31593292680613805,0.29481257007624095,0.6072955934719998,0.19089983748231976,0.16444449213262513,0.1706522203342754,0.4959808286551026,0.5574826809610198,0.15868678335650577,0.3257346254759592,0.2653355567112934,0.329448470676437,0.30819879241557335,0.5488974923038934,0.15207243713463559,0.46807460548764035,0.4288010446356859,0.11226438148044615,0.25613744578602726
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.18491444141554292,0.1898990086762088,0.22778235177979644,0.3422823100954103,0.2632729957993831,0.2735711062348868,0.2957447567576429,0.2505991191385385,0.16623773634911876,8.992806499463768e-15,0.32340081497284145,0.33567447595914623,0.17661215772802397,0.5125933471455089,0.296191470156527,0.24642050559046202,0.537969928931076,0.5612110851310939,0.36891584436354097,0.2922177373696776,0.42901252428123016,0.2665548642262334,0.15446797662790468,0.2544413217799515,0.37912439759477223,0.3147543978263655,0.4386495597603385,0.5063743890319569,0.3097416218010145,0.31557312467197063,0.5795049965710988,0.28897276275596584,0.4552101013657195,0.19497607909404568,0.4581515583111927,0.6421385554920754,0.27352584879732633,0.5304226395175429,0.45032017121708123,0.42003760512019506,0.387576622715205,0.46986172939808424,0.39633756741182513,0.13881252927822285,0.5348375766994611,0.2005507330509343,0.24793913278608393,0.587494796518188,0.33627390917061484,0.3314218406225574,0.6093901288716157,0.22617368079351086,0.17679033020360946,0.14067076102860399,0.4465306819599326,0.5324859105229391,0.1893206812311946,0.27997590878546474,0.25875891217665237,0.25714149906584094,0.3527800642303033,0.5664725803174785,0.22196439105563381,0.44046730768577613,0.42612771960348794,0.11233946590988564,0.23593427916541998
